season,episode,airdate,hosts,youtube_id, view_count,like_count,dislike_count,title,year,imdb_id,imdb_rating,runtime,imdb_cast,imdb_votes,oscar_winner,gregg_popcorn,gregg_oscar,tim_popcorn,tim_oscar
3,3,7/17/2013,Gregg Turkington|Tim Heidecker,_1g-Q7Nim6A,170263,1605,41,RED 2,2013,1821694,6.6,116,Bruce Willis|John Malkovich|Mary-Louise Parker|Helen Mirren|Anthony Hopkins,158593,False,5,False,5,False
3,4,7/24/2013,Gregg Turkington|Tim Heidecker|Joe Estevez,IcP5kn2kZcQ,181543,1506,37,Blue Jasmine,2013,2334873,7.3,98,Cate Blanchett|Joy Carlin|Richard Conti|Glen Caspillo|Alec Baldwin,190494,True,NA,False,6,True
3,4,7/24/2013,Gregg Turkington|Tim Heidecker|Joe Estevez,IcP5kn2kZcQ,181543,1506,37,The Wolverine,2013,1430132,6.7,126,Hugh Jackman|Tao Okamoto|Rila Fukushima|Hiroyuki Sanada|Svetlana Khodchenkova,426051,False,5,False,5,False
3,5,7/31/2013,Gregg Turkington|Tim Heidecker,wE7iRtuJYK8,161199,1401,31,The Smurfs 2,2013,2017020,5.3,105,Hank Azaria|Neil Patrick Harris|Brendan Gleeson|Jayma Mays|Jacob Tremblay,37559,False,5,True,5,True
3,5,7/31/2013,Gregg Turkington|Tim Heidecker,wE7iRtuJYK8,161199,1401,31,300: Rise of an Empire,2014,1253863,6.2,102,Sullivan Stapleton|Eva Green|Lena Headey|Hans Matheson|Callan Mulvey,278687,False,5,False,4,False
3,6,8/7/2013,Gregg Turkington|Tim Heidecker,LIlXGcRH2Rs,136164,1241,47,Percy Jackson: Sea of Monsters,2013,1854564,5.8,106,Logan Lerman|Alexandra Daddario|Douglas Smith|Leven Rambin|Brandon T. Jackson,109409,False,5,False,5,False
3,6,8/7/2013,Gregg Turkington|Tim Heidecker,LIlXGcRH2Rs,136164,1241,47,Elysium,2013,1535108,6.6,109,Matt Damon|Jodie Foster|Sharlto Copley|Alice Braga|Diego Luna,416551,False,NA,False,5,False
3,7,8/14/2013,Gregg Turkington|Tim Heidecker,ScpA45z6BKQ,180152,1925,56,Kick-Ass 2,2013,1650554,6.5,103,Aaron Taylor-Johnson|Chloë Grace Moretz|Morris Chestnut|Claudia Lee|Amy Anzel,253022,False,5,False,5,False
3,8,8/21/2013,Ayaka Ohwaki|John Aprea|Tim Heidecker,Yr_q3Gxvex0,158542,1200,55,The World's End,2013,1213663,7.0,109,Thomas Law|Zachary Bailess|Jasper Levine|James Tarpey|Luke Bromley,257403,False,NA,NA,5,False
3,8,8/21/2013,Ayaka Ohwaki|John Aprea|Tim Heidecker,Yr_q3Gxvex0,158542,1200,55,The Colony,2013,1160996,5.3,95,Kevin Zegers|Laurence Fishburne|Bill Paxton|Charlotte Sullivan|Dru Viergever,42809,False,NA,NA,5,False
